"V1" "V2" "V3" "V4" "V5" "V6"
"SV2570" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Pseudomonadaceae" "Pseudomonas"
"SV2571" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Oligoflexales" "Oligoflexaceae" NA
"SV2572" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Tyzzerella_4"
"SV2573" "Bacteria" "Actinobacteria" "Acidimicrobiia" "Acidimicrobiales" "Sva0996_marine_group" NA
"SV2574" "Bacteria" "Proteobacteria" NA NA NA NA
"SV2575" "Bacteria" "Actinobacteria" "Actinobacteria" "Propionibacteriales" "Nocardioidaceae" "Nocardioides"
"SV2576" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" "Piscinibacter"
"SV2577" "Bacteria" "Actinobacteria" "Acidimicrobiia" "Acidimicrobiales" NA NA
"SV2578" "Bacteria" "Actinobacteria" "Actinobacteria" "Propionibacteriales" "Nocardioidaceae" "Nocardioides"
"SV2579" "Bacteria" "Bacteroidetes" "Flavobacteriia" "Flavobacteriales" "Flavobacteriaceae" "Chryseobacterium"
"SV2580" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Moraxellaceae" "Psychrobacter"
"SV2581" "Bacteria" "Bacteroidetes" "Cytophagia" "Cytophagales" "Cytophagaceae" "Hymenobacter"
"SV2582" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Intrasporangiaceae" "Janibacter"
"SV2583" "Bacteria" "Actinobacteria" "Actinobacteria" "Kineosporiales" "Kineosporiaceae" "Kineococcus"
"SV2584" "Bacteria" "Tenericutes" "Mollicutes" "Mollicutes_RF9" NA NA
"SV2585" "Bacteria" "Chlamydiae" "Chlamydiae" "Chlamydiales" "Parachlamydiaceae" "Parachlamydia"
"SV2586" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Ruminococcaceae_UCG-014"
"SV2587" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Beutenbergiaceae" "Beutenbergia"
"SV2588" "Bacteria" "Actinobacteria" "Actinobacteria" "Frankiales" NA NA
"SV2589" "Bacteria" "Firmicutes" "Clostridia" "Halanaerobiales" "ODP1230B8.23" NA
"SV2590" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "AKYH478" NA
"SV2591" "Bacteria" "Planctomycetes" "Planctomycetacia" "Planctomycetales" "Planctomycetaceae" "Pir4_lineage"
"SV2592" "Bacteria" "Bacteroidetes" "Flavobacteriia" "Flavobacteriales" "Flavobacteriaceae" "Confluentibacter"
"SV2593" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Verrucomicrobiales" "Verrucomicrobiaceae" "Haloferula"
"SV2594" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Hyphomonadaceae" "Hirschia"
"SV2595" "Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "Chitinophagaceae" NA
"SV2596" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Hyphomicrobiaceae" "Hyphomicrobium"
"SV2597" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Hyphomicrobiaceae" "Hyphomicrobium"
"SV2598" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Lachnospiraceae_NC2004_group"
"SV2599" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA
"SV2600" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides"
"SV2601" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Roseovarius"
"SV2602" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" NA
"SV2603" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Alteromonadaceae" "Glaciecola"
"SV2604" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA
"SV2605" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Desulfobacterales" "Desulfobulbaceae" NA
"SV2606" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Hyphomonadaceae" "Litorimonas"
"SV2607" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" NA
"SV2608" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Nautella"
"SV2609" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotellaceae_UCG-001"
"SV2610" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"SV2611" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"SV2612" "Bacteria" "Actinobacteria" "Actinobacteria" "Micromonosporales" "Micromonosporaceae" "Actinoplanes"
"SV2613" "Bacteria" "Actinobacteria" "Nitriliruptoria" "Nitriliruptorales" "Nitriliruptoraceae" NA
"SV2614" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Desulfuromonadales" "Geobacteraceae" "Geopsychrobacter"
"SV2615" "Bacteria" "Verrucomicrobia" "Spartobacteria" "Chthoniobacterales" NA NA
"SV2616" "Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "Sphingobacteriaceae" "Mucilaginibacter"
"SV2617" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA
"SV2618" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"SV2619" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA
"SV2620" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"SV2621" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Cellvibrionales" "Microbulbiferaceae" "Microbulbifer"
"SV2622" "Bacteria" NA NA NA NA NA
"SV2623" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"SV2624" "Bacteria" "Actinobacteria" "Thermoleophilia" "Solirubrobacterales" "Solirubrobacteraceae" "Solirubrobacter"
"SV2625" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA
"SV2626" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas"
"SV2627" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Rikenellaceae" "Alistipes"
"SV2628" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA
"SV2629" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"SV2630" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Oligoflexales" "Oligoflexaceae" NA
"SV2631" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Paracoccus"
"SV2632" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Idiomarinaceae" "Aliidiomarina"
"SV2633" "Bacteria" "Chlamydiae" "Chlamydiae" "Chlamydiales" NA NA
"SV2634" NA NA NA NA NA NA
"SV2635" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Clostridiaceae_1" "Clostridium_sensu_stricto_1"
"SV2636" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Intrasporangiaceae" "Knoellia"
"SV2637" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Gammaproteobacteria_Incertae_Sedis" "Unknown_Family" "Marinicella"
"SV2638" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA
"SV2639" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Thiotrichales" "Piscirickettsiaceae" "Methylophaga"
"SV2640" "Bacteria" "Firmicutes" NA NA NA NA
"SV2641" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "1174-901-12" NA
"SV2642" "Bacteria" "Actinobacteria" "Acidimicrobiia" "Acidimicrobiales" "Iamiaceae" "Iamia"
"SV2643" "Bacteria" "Planctomycetes" "Planctomycetacia" "Planctomycetales" "Planctomycetaceae" "Roseimaritima"
"SV2644" "Bacteria" "Planctomycetes" "Planctomycetacia" "Planctomycetales" "Planctomycetaceae" "Pirellula"
"SV2645" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "BCf3-20" NA
"SV2646" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Erythrobacteraceae" "Altererythrobacter"
"SV2647" "Bacteria" "Actinobacteria" "Thermoleophilia" "Solirubrobacterales" "Elev-16S-1332" NA
"SV2648" "Bacteria" NA NA NA NA NA
"SV2649" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas"
"SV2650" "Bacteria" "Bacteroidetes" "Cytophagia" "Cytophagales" "Flammeovirgaceae" "Flexithrix"
"SV2651" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"SV2652" "Bacteria" NA NA NA NA NA
"SV2653" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA
"SV2654" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "Methylorosula"
"SV2655" NA NA NA NA NA NA
"SV2656" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Streptococcaceae" "Streptococcus"
"SV2657" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Gammaproteobacteria_Incertae_Sedis" "Unknown_Family" NA
"SV2658" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Legionellales" "Coxiellaceae" "Aquicella"
"SV2659" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Oceanospirillales" "Oceanospirillaceae" "Pseudohongiella"
"SV2660" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Hyphomonadaceae" "Litorimonas"
"SV2661" "Bacteria" "Proteobacteria" "Gammaproteobacteria" NA NA NA
"SV2662" "Bacteria" "Chloroflexi" "Anaerolineae" "Anaerolineales" "Anaerolineaceae" NA
"SV2663" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Verrucomicrobiales" "Verrucomicrobiaceae" "Haloferula"
"SV2664" "Bacteria" "Cyanobacteria" "Melainabacteria" "Gastranaerophilales" NA NA
"SV2665" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "Rhodospirillaceae" "Defluviicoccus"
"SV2666" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"SV2667" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Clostridiaceae_1" "Candidatus_Arthromitus"
"SV2668" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Peptococcaceae" "Desulfosporosinus"
"SV2669" "Bacteria" NA NA NA NA NA
"SV2670" "Bacteria" "Actinobacteria" "Nitriliruptoria" "Euzebyales" "Euzebyaceae" "Euzebya"
"SV2671" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Verrucomicrobiales" "Verrucomicrobiaceae" NA
"SV2672" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA
"SV2673" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Hyphomicrobiaceae" "Pelagibacterium"
"SV2674" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Microbacteriaceae" NA
"SV2675" "Bacteria" "Verrucomicrobia" "Spartobacteria" "Chthoniobacterales" "Xiphinematobacteraceae" "Candidatus_Xiphinematobacter"
"SV2676" "Bacteria" "Chloroflexi" "SBR2076" NA NA NA
"SV2677" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Staphylococcaceae" "Staphylococcus"
"SV2678" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"SV2679" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Family_XI" "Murdochiella"
"SV2680" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Bacillaceae" "Bacillus"
"SV2681" "Bacteria" "Actinobacteria" "Thermoleophilia" "Solirubrobacterales" "Patulibacteraceae" "Patulibacter"
"SV2682" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Carnobacteriaceae" "Atopostipes"
"SV2683" NA NA NA NA NA NA
"SV2684" "Bacteria" "Bacteroidetes" "Flavobacteriia" "Flavobacteriales" "Flavobacteriaceae" NA
"SV2685" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Rikenellaceae" "Alistipes"
"SV2686" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Tyzzerella"
"SV2687" "Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "Sphingobacteriaceae" "Mucilaginibacter"
"SV2688" "Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "Chitinophagaceae" "Ferruginibacter"
"SV2689" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Polymorphobacter"
"SV2690" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotellaceae_NK3B31_group"
"SV2691" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Verrucomicrobiales" "Verrucomicrobiaceae" "Luteolibacter"
"SV2692" "Bacteria" "Actinobacteria" "Thermoleophilia" "Solirubrobacterales" "Elev-16S-1332" NA
"SV2693" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Xanthomonadales" "Xanthomonadaceae" "Stenotrophomonas"
"SV2694" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"SV2695" NA NA NA NA NA NA
"SV2696" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Staphylococcaceae" NA
"SV2697" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA
"SV2698" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"SV2699" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"SV2700" "Eukaryota" NA NA NA NA NA
"SV2701" "Bacteria" "Saccharibacteria" NA NA NA NA
"SV2702" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Hyphomicrobiaceae" "Devosia"
"SV2703" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA
"SV2704" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Bdellovibrionales" "Bdellovibrionaceae" "Bdellovibrio"
"SV2705" NA NA NA NA NA NA
"SV2706" "Bacteria" "Saccharibacteria" NA NA NA NA
"SV2707" "Bacteria" "Actinobacteria" "Actinobacteria" "Micromonosporales" "Micromonosporaceae" "Actinoplanes"
"SV2708" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "Rhodospirillaceae" "Defluviicoccus"
"SV2709" "Bacteria" "Actinobacteria" "Actinobacteria" "Corynebacteriales" "Corynebacteriaceae" "Corynebacterium_1"
"SV2710" NA NA NA NA NA NA
"SV2711" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiaceae" "Rhizobium"
"SV2712" "Bacteria" "Actinobacteria" "Thermoleophilia" "Solirubrobacterales" "Elev-16S-1332" NA
"SV2713" "Bacteria" "Actinobacteria" "Actinobacteria" "PeM15" NA NA
"SV2714" "Bacteria" "Bacteroidetes" "Flavobacteriia" "Flavobacteriales" "Flavobacteriaceae" "Flavobacterium"
"SV2715" "Bacteria" "Chloroflexi" "Anaerolineae" "Anaerolineales" "Anaerolineaceae" NA
"SV2716" "Bacteria" "Actinobacteria" "Acidimicrobiia" "Acidimicrobiales" "OM1_clade" NA
"SV2717" NA NA NA NA NA NA
"SV2718" "Bacteria" "Actinobacteria" "Thermoleophilia" "Solirubrobacterales" "Elev-16S-1332" NA
"SV2719" "Bacteria" "Actinobacteria" "Actinobacteria" "Propionibacteriales" "Nocardioidaceae" "Nocardioides"
"SV2720" "Bacteria" "Bacteroidetes" "Cytophagia" "Cytophagales" "Cytophagaceae" "Hymenobacter"
"SV2721" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "M05-Pitesti" NA
"SV2722" "Bacteria" "Actinobacteria" "Actinobacteria" "Corynebacteriales" "Mycobacteriaceae" "Mycobacterium"
"SV2723" "Bacteria" "Chloroflexi" "Anaerolineae" "Anaerolineales" "Anaerolineaceae" NA
"SV2724" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "Acetobacteraceae" "Rhodovastum"
"SV2725" "Bacteria" "Chloroflexi" "Anaerolineae" "Anaerolineales" "Anaerolineaceae" NA
"SV2726" "Bacteria" "Actinobacteria" "Acidimicrobiia" "Acidimicrobiales" NA NA
"SV2727" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Chromatiales" "Granulosicoccaceae" "Granulosicoccus"
"SV2728" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA
"SV2729" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Desulfovibrionales" "Desulfovibrionaceae" "Desulfovibrio"
"SV2730" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA
"SV2731" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" NA NA
"SV2732" "Bacteria" "Bacteroidetes" "Flavobacteriia" "Flavobacteriales" "Flavobacteriaceae" "Pibocella"
"SV2733" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Oxalobacteraceae" "Duganella"
"SV2734" "Eukaryota" NA NA NA NA NA
"SV2735" "Bacteria" "Actinobacteria" "Actinobacteria" "Micromonosporales" "Micromonosporaceae" "Actinoplanes"
"SV2736" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Amaricoccus"
"SV2737" "Bacteria" "Acidobacteria" "Holophagae" "Subgroup_7" NA NA
"SV2738" "Bacteria" "Acidobacteria" "Blastocatellia" "Blastocatellales" "Blastocatellaceae_(Subgroup_4)" NA
"SV2739" "Bacteria" "Nitrospirae" "Nitrospira" "Nitrospirales" "Nitrospiraceae" "Nitrospira"
"SV2740" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "Acetobacteraceae" NA
"SV2741" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA
"SV2742" "Bacteria" "Chlamydiae" "Chlamydiae" "Chlamydiales" "Parachlamydiaceae" "Candidatus_Protochlamydia"
"SV2743" "Eukaryota" NA NA NA NA NA
"SV2744" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"SV2745" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" "Brevundimonas"
"SV2746" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA
"SV2747" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA
"SV2748" "Bacteria" "Bacteroidetes" "Flavobacteriia" "Flavobacteriales" "Flavobacteriaceae" "Flavobacterium"
"SV2749" "Bacteria" "Bacteroidetes" "Flavobacteriia" "Flavobacteriales" "Flavobacteriaceae" "Flavobacterium"
"SV2750" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA
"SV2751" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Dermacoccaceae" NA
"SV2752" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Legionellales" "Coxiellaceae" "Aquicella"
"SV2753" "Bacteria" "Actinobacteria" "Thermoleophilia" "Solirubrobacterales" "TM146" NA
"SV2754" "Bacteria" "Actinobacteria" "Thermoleophilia" "Solirubrobacterales" "TM146" NA
"SV2755" "Bacteria" "Verrucomicrobia" "Spartobacteria" "Chthoniobacterales" "Chthoniobacteraceae" "Chthoniobacter"
"SV2756" "Bacteria" "Tenericutes" "Mollicutes" "Mollicutes_RF9" NA NA
"SV2757" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "Rhodospirillales_Incertae_Sedis" "Reyranella"
"SV2758" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Phyllobacteriaceae" "Pseudaminobacter"
"SV2759" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Oceanospirillales" "Halomonadaceae" "Halomonas"
"SV2760" "Bacteria" NA NA NA NA NA
"SV2761" "Bacteria" "Planctomycetes" "Planctomycetacia" "Planctomycetales" "Planctomycetaceae" "Pir4_lineage"
"SV2762" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Oligoflexales" "Oligoflexaceae" NA
"SV2763" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "E6aD10" NA NA
"SV2764" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"SV2765" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA
"SV2766" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Psychromonadaceae" "Psychromonas"
"SV2767" "Bacteria" "Chloroflexi" "Anaerolineae" "Anaerolineales" "Anaerolineaceae" NA
"SV2768" NA NA NA NA NA NA
"SV2769" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Myxococcales" "Sandaracinaceae" NA
"SV2770" "Bacteria" "Actinobacteria" "Actinobacteria" "Bifidobacteriales" "Bifidobacteriaceae" "Bifidobacterium"
"SV2771" NA NA NA NA NA NA
"SV2772" "Bacteria" "Chlamydiae" "Chlamydiae" "Chlamydiales" "Parachlamydiaceae" "Candidatus_Protochlamydia"
"SV2773" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" NA
"SV2774" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Loktanella"
"SV2775" "Bacteria" "Planctomycetes" "Planctomycetacia" "Planctomycetales" "Planctomycetaceae" "Singulisphaera"
"SV2776" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Aeromonadales" "Succinivibrionaceae" "Anaerobiospirillum"
"SV2777" "Eukaryota" NA NA NA NA NA
"SV2778" NA NA NA NA NA NA
"SV2779" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Maribius"
"SV2780" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA
"SV2781" "Bacteria" "Proteobacteria" NA NA NA NA
"SV2782" "Bacteria" "Bacteroidetes" "Cytophagia" "Cytophagales" "Cytophagaceae" "Spirosoma"
"SV2783" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" NA
"SV2784" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "Rhodospirillaceae" NA
"SV2785" "Bacteria" "Actinobacteria" "Acidimicrobiia" "Acidimicrobiales" "Acidimicrobiaceae" "Ilumatobacter"
"SV2786" "Bacteria" "Actinobacteria" "Actinobacteria" "Propionibacteriales" "Nocardioidaceae" "Nocardioides"
"SV2787" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Verrucomicrobiales" "DEV007" NA
"SV2788" "Bacteria" "Bacteroidetes" "Cytophagia" "Cytophagales" "Cytophagaceae" "Dyadobacter"
"SV2789" "Bacteria" "Actinobacteria" "Actinobacteria" "Propionibacteriales" "Nocardioidaceae" "Marmoricola"
"SV2790" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA
"SV2791" "Bacteria" "Actinobacteria" "Actinobacteria" "Frankiales" "Geodermatophilaceae" "Blastococcus"
"SV2792" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Pseudomonadaceae" NA
"SV2793" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Marvinbryantia"
"SV2794" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Verrucomicrobiales" "Verrucomicrobiaceae" "Haloferula"
"SV2795" "Bacteria" "Bacteroidetes" "Flavobacteriia" "Flavobacteriales" "Flavobacteriaceae" "Polaribacter_4"
"SV2796" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Verrucomicrobiales" "Rubritaleaceae" "Rubritalea"
"SV2797" "Bacteria" "Proteobacteria" NA NA NA NA
"SV2798" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Chromatiales" "Ectothiorhodospiraceae" "Thiorhodospira"
"SV2799" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Microvirga"
"SV2800" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Verrucomicrobiales" "Verrucomicrobiaceae" "Persicirhabdus"
"SV2801" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Hyphomicrobiaceae" NA
"SV2802" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"SV2803" "Bacteria" "Proteobacteria" NA NA NA NA
"SV2804" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Moraxellaceae" "Acinetobacter"
"SV2805" "Bacteria" "Verrucomicrobia" "Spartobacteria" "Chthoniobacterales" "Chthoniobacterales_Incertae_Sedis" "Terrimicrobium"
"SV2806" "Bacteria" "Actinobacteria" "Actinobacteria" "Kineosporiales" "Kineosporiaceae" NA
"SV2807" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" "Phenylobacterium"
"SV2808" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Phyllobacteriaceae" "Pseudahrensia"
"SV2809" "Bacteria" "Actinobacteria" "Actinobacteria" "Frankiales" "Nakamurellaceae" "Nakamurella"
"SV2810" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"SV2811" "Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "Sphingobacteriaceae" "Sphingobacterium"
"SV2812" "Bacteria" "Actinobacteria" "Actinobacteria" "Frankiales" "Geodermatophilaceae" "Blastococcus"
"SV2813" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Xanthomonadales" NA NA
"SV2814" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" NA
"SV2815" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Microbacteriaceae" "Leucobacter"
"SV2816" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Aeromonadales" "Succinivibrionaceae" "Anaerobiospirillum"
"SV2817" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Alcaligenaceae" "Verticia"
"SV2818" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas"
"SV2819" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Methylophilales" "Methylophilaceae" NA
"SV2820" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Microvirga"
"SV2821" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"SV2822" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Paracoccus"
"SV2823" "Bacteria" "Chloroflexi" "KD4-96" NA NA NA
