"7CBY-SWAB" "9CBY-SWAB" "G001" "G002" "G003" "G004" "G005" "G006" "G007" "G008" "G009" "G010" "G011" "G012" "G013" "G014" "G015" "G016" "G017" "G018" "G019" "G020" "G021" "G022" "G023" "G024" "G025" "G026" "G027" "G028" "G029" "G030" "G031" "G032" "G033" "G034" "G035" "G036" "G037" "G038" "G039" "G040" "G041" "G042" "G043" "G044" "G045" "G046" "G047" "G048" "G049" "G050" "G051" "G052" "G053" "G054" "G055" "G056" "G057" "G058" "G059" "G060" "G061" "G062" "G063" "G064" "G065" "G066" "G067" "G068" "G069" "G070" "G071" "G072" "G073" "G074" "G075" "G076" "G077" "G078" "G079" "G080" "G081" "G082" "G083" "G084" "G085" "G086" "G087" "G088" "G089" "G090" "G091" "G092" "G093" "G094" "G095" "G096" "G097" "G098" "G099" "G100" "G101" "G102" "G103" "G104" "G105" "G106" "G107" "G108" "G109" "G110" "G111" "G112" "G113" "G114" "G115" "G116" "G117" "G118" "G119" "G120" "G121" "G122" "G123" "G124" "G125" "G126" "G127" "G128" "G129" "G130" "G131" "G132" "G133" "G134" "G135" "G136" "G137" "G138" "G139" "G140" "G141" "G142" "G143" "G144" "G145" "G47BY-SWAB" "G67BY-SWAB" "LABY-SWAB" "MC1" "MC2" "NEG1" "NEG2" "NEG3" "TFBY-SWAB" "XCBY-SWAB" "ZABY-SWAB"
"SV21" 0 0 0 0 0 0 0 0 223 0 52 0 0 4 5 17 10 0 19 23 0 21 0 10 5 0 0 0 66 279 4 0 8886 400 29 0 78 112 24 0 0 0 0 103 20 0 0 0 0 0 17 0 0 16138 23 0 0 0 0 14 0 0 0 48 6996 11 29 0 0 7 506 12 25 5 0 27 0 0 0 0 26 0 0 1578 13 0 0 0 0 0 0 0 23 0 0 50 5072 0 0 8 0 23 0 0 0 0 0 0 9 0 0 100 7 29 143 0 31 0 0 2785 828 7480 41 10 456 1810 60 239 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 39 0 11 0 6 0 0 0 0 0 2 0 0
"SV22" 0 0 5 2 34 190 4929 46 106 111 1477 325 340 0 0 583 83 127 176 641 63 430 254 101 265 154 41 644 1001 81 82 222 49 213 524 174 268 0 381 0 286 0 478 172 139 9 165 152 97 147 374 19 0 126 315 262 23 29 79 117 236 615 409 253 3151 207 453 281 126 134 664 1802 39 316 91 134 159 107 33 0 28 46 34 177 164 0 53 3074 121 0 96 174 60 4 0 766 916 0 0 262 248 208 52 146 445 1255 270 156 264 1374 342 79 3 280 126 97 217 549 261 71 18 0 73 13 0 819 448 222 0 0 651 1176 102 134 282 11 445 264 92 2600 691 452 272 1053 1019 238 0 2 0 0 0 0 0 0 0 0 0 0
"SV23" 0 0 133 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 9 0 0 0 10 0 0 14 0 0 15 0 0 0 197 90 0 0 22 20 0 16 0 0 0 0 301 0 0 0 10276 0 9 0 0 0 0 0 7940 0 664 0 0 0 6 0 0 12 18088 0 13 0 0 0 0 0 18 25 6 0 208 0 146 0 0 0 49 11 0 0 0 106 236 2074 46 26 0 0 0 0 0 9 0 0 0 0 9 0 0 11 0 0 19 14 0 0 0 0 0 0 0 0 0 0 0 20 0 0 50 0 0 0 0 0 5987 29 0 0 17 11 9 93 0 0 0 0 0 0 0 0 0 0 0 0
"SV24" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 633 0 75 0 426 0 0 267 453 0 0 0 0 539 0 50 0 0 51 80 0 0 0 0 0 118 0 0 0 0 0 140 165 0 0 0 0 0 660 0 35 0 0 331 0 0 0 0 0 0 0 0 0 1497 0 0 0 192 0 0 0 0 0 0 0 0 0 0 0 3921 3483 0 291 0 0 0 0 53 6633 2206 1698 0 0 0 0 384 0 0 0 0 0 0 0 5154 1406 172 0 247 253 1979 74 0 10005 0 0 0 1724 561 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SV25" 0 0 0 0 0 0 0 0 14 0 12 0 0 0 0 0 208 0 6 0 0 0 0 0 0 0 0 0 54 97 0 544 18984 66 613 17 0 1025 9 0 0 0 0 435 147 5 0 0 0 0 0 0 0 402 0 3 20 22 0 194 202 0 0 93 0 0 62 0 541 0 2512 0 420 0 0 67 0 0 0 0 271 0 0 9643 0 0 0 0 0 0 0 13 46 0 0 0 445 0 0 0 0 0 0 0 0 0 0 0 0 0 0 111 0 0 0 7 0 0 0 2052 648 93 66 2 97 106 42 2285 0 0 4 0 0 0 0 0 0 4 0 0 0 0 0 0 0 17 0 6 0 7 0 0 0 0 0 7 0 0
"SV26" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 81 27 0 0 0 0 0 0 1841 0 217 0 215 0 0 581 456 31 0 0 0 2916 0 67 0 1097 5330 815 0 0 0 0 0 1516 0 0 0 0 0 12 1836 0 0 0 0 0 3553 0 686 0 0 386 0 0 0 0 0 0 0 0 0 2601 0 0 0 239 0 0 0 0 0 0 0 0 0 0 0 1934 480 0 664 0 0 0 0 908 1153 3972 347 0 0 0 0 339 0 0 0 0 0 0 0 230 2351 60 0 0 719 1030 730 0 938 0 0 0 0 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0
"SV27" 0 28 0 0 114 174 0 0 55 2129 0 0 27 0 0 0 0 58 773 22 0 91 0 0 0 414 0 0 93 0 0 0 145 75 168 0 48 0 581 0 0 0 34 103 217 0 0 0 0 79 0 235 0 16 8 23 7512 1 82 137 0 189 0 0 0 0 0 938 405 4 1116 39 9 0 139 0 1422 0 0 0 6 226 10201 34 230 0 0 83 15 0 0 24 0 0 0 33 0 0 0 0 0 0 0 0 0 0 138 150 14 0 73 118 0 152 2406 0 0 28 0 0 0 0 0 165 0 378 290 0 0 0 0 0 3648 3635 0 72 104 259 0 0 0 0 14 0 49 18 0 0 0 0 0 0 0 0 0 0 0 0
"SV28" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 262 22 0 0 0 0 0 0 2138 0 1376 0 509 0 0 728 853 52 0 0 0 839 0 63 0 918 2891 1289 0 0 0 0 0 1085 0 0 0 0 0 0 2397 0 0 0 0 0 855 0 230 122 55 208 0 0 0 0 0 0 22 0 0 444 0 0 0 301 0 0 0 0 0 0 0 0 0 10 0 5046 185 0 344 0 0 0 0 755 930 3737 327 7 0 0 0 276 0 0 0 0 0 0 0 535 1663 142 0 0 665 871 279 0 98 0 0 0 343 168 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 20 0 0 0 0 0 0 0 0 0 0 0
"SV29" 0 0 2008 20 128 255 1038 19 178 226 483 349 322 0 0 304 168 120 208 900 60 323 220 76 255 131 102 265 204 0 59 278 130 177 405 1561 111 295 262 57 530 0 510 245 102 27 182 257 51 113 664 0 0 119 886 84 41 18 31 189 660 375 600 56 254 209 248 368 75 112 163 451 55 257 74 776 82 53 76 149 204 75 0 82 191 0 51 451 101 0 44 181 0 0 0 324 429 53 0 660 0 184 59 114 122 565 183 215 62 165 79 77 19 66 77 122 971 550 92 78 44 60 100 0 284 175 91 68 115 66 352 262 26 66 213 22 160 92 73 489 408 158 101 294 163 212 74 47 35 24 0 0 0 0 0 0 0 0
"SV30" 0 0 0 0 31 0 0 0 0 0 206 0 92 0 0 0 124 7 0 0 0 82 0 76 0 0 0 84 35 0 0 528 0 34 107 0 212 0 62 0 0 27 0 170 311 0 1008 118 398 514 0 82 0 0 142 0 0 0 109 75 0 1434 94 161 0 0 248 109 0 0 252 459 0 769 0 0 0 0 161 0 145 170 84 764 781 1863 0 147 86 47 197 27 0 0 114 119 146 325 469 95 0 19 65 138 825 747 8206 735 426 262 472 373 16 1348 73 0 90 182 0 203 70 0 87 39 0 101 247 51 0 0 693 182 158 305 194 0 719 0 0 0 0 0 26 0 81 0 0 0 0 0 0 0 0 0 0 0 0 0
